 9.79357e+00  1.96905e-01 
 1.32593e+01  2.23676e+00 
 1.79514e+01  6.04976e+00 
 2.43040e+01  1.00488e+01 
 3.29046e+01  1.39552e+01 
 4.45488e+01  1.75268e+01 
 6.03135e+01  2.14376e+01 
 8.16571e+01  2.58990e+01 
 1.10554e+02  3.09987e+01 
 1.49676e+02  3.68155e+01 
 2.02643e+02  4.34244e+01 
 2.74353e+02  5.08981e+01 
 3.71440e+02  5.93053e+01 
 5.02884e+02  6.87106e+01 
 6.80842e+02  7.91721e+01 
 9.21776e+02  9.07395e+01 
 1.24797e+03  1.03450e+02 
 1.68960e+03  1.17329e+02 
 2.28751e+03  1.32385e+02 
 3.09700e+03  1.48534e+02 
