 9.79357e+00  2.94401e-01 
 1.32593e+01  2.40811e+00 
 1.79514e+01  5.74026e+00 
 2.43040e+01  9.15302e+00 
 3.29046e+01  1.26351e+01 
 4.45488e+01  1.64062e+01 
 6.03135e+01  2.06235e+01 
 8.16571e+01  2.53841e+01 
 1.10554e+02  3.07543e+01 
 1.49676e+02  3.67857e+01 
 2.02643e+02  4.35207e+01 
 2.74353e+02  5.09933e+01 
 3.71440e+02  5.92294e+01 
 5.02884e+02  6.82450e+01 
 6.80842e+02  7.80448e+01 
 9.21776e+02  8.86211e+01 
 1.24797e+03  9.99524e+01 
 1.68960e+03  1.12004e+02 
 2.28751e+03  1.24725e+02 
 3.09700e+03  1.38028e+02 
