        y      W_l, GeV  sigma(H,l)/Flux sigma(L,l)/Flux W_r, GeV sigma(H,r)/Flux sigma(L,r)/Flux        
	0.00     124.685    0.019614    0.024240     124.685    0.019614    0.024240
        0.25     110.034    0.018797    0.022791     141.287    0.020426    0.025766
        0.50      97.105    0.017980    0.021412     160.099    0.021260    0.027411
        0.75      85.695    0.017208    0.020135     181.416    0.022125    0.029145
        1.00      75.625    0.016427    0.018913     205.571    0.022991    0.030963
        1.25      66.739    0.015639    0.017742     232.943    0.023693    0.032928
        1.50      58.897    0.014889    0.016651     263.959    0.024398    0.034981
        1.75      51.977    0.014153    0.015610     299.105    0.025323    0.037072
        2.00      45.869    0.013423    0.014615     338.930    0.026518    0.039278
        2.25      40.479    0.012692    0.013647     384.058    0.027831    0.041589
        2.50      35.723    0.011952    0.012702     435.195    0.029219    0.044005
        2.75      31.525    0.011197    0.011766     493.140    0.030684    0.046469
        3.00      27.821    0.010415    0.010826     558.801    0.032208    0.048957
        3.25      24.552    0.009549    0.009830     633.204    0.033845    0.051545
        3.50      21.667    0.008548    0.008721     717.515    0.035515    0.053741
        3.75      19.121    0.007420    0.007497     813.051    0.037249    0.055505
        4.00      16.874    0.006330    0.006299     921.307    0.039151    0.057119
        4.25      14.892    0.005155    0.005030    1043.978    0.042281    0.060982
        4.50      13.142    0.003595    0.003454    1182.982    0.046728    0.067396
Notes:
1. Same as before, but now all cross sections divided by the photon flux.
2. The cross sections are still in [mb].

