 9.79357e+00  5.07632e-01 
 1.32593e+01  3.18813e+00 
 1.79514e+01  6.47428e+00 
 2.43040e+01  9.34734e+00 
 3.29046e+01  1.21388e+01 
 4.45488e+01  1.52043e+01 
 6.03135e+01  1.87500e+01 
 8.16571e+01  2.29017e+01 
 1.10554e+02  2.77509e+01 
 1.49676e+02  3.33731e+01 
 2.02643e+02  3.98332e+01 
 2.74353e+02  4.71853e+01 
 3.71440e+02  5.54718e+01 
 5.02884e+02  6.47205e+01 
 6.80842e+02  7.49435e+01 
 9.21776e+02  8.61346e+01 
 1.24797e+03  9.82689e+01 
 1.68960e+03  1.11302e+02 
 2.28751e+03  1.25170e+02 
 3.09700e+03  1.39759e+02 
