
    Vector meson cross sections at 5.02 TeV in PbPb

 J/Psi 
   leading twist weak shadowing

    y       tot      0n0n     0nxn     xnxn   
 3.5000    .3046    .2580    .0334    .0132   
 3.6000    .2850    .2443    .0295    .0112   
 3.7000    .2644    .2288    .0260    .0096   
 3.8000    .2437    .2127    .0229    .0081   
 3.9000    .2221    .1951    .0201    .0069   
 4.0000    .1992    .1759    .0174    .0059   
 4.1000    .1758    .1559    .0150    .0049   
 4.2000    .1516    .1349    .0126    .0041   
 4.3000    .1267    .1130    .0103    .0033   
 4.4000    .1020    .0912    .0082    .0026   
 4.5000    .0786    .0704    .0062    .0020   
 4.6000    .0569    .0510    .0044    .0014   
 4.7000    .0382    .0344    .0029    .0009   
 4.8000    .0236    .0212    .0018    .0006   
 4.9000    .0133    .0120    .0010    .0003   
 5.0000    .0073    .0066    .0005    .0002   
 5.1000    .0047    .0043    .0003    .0001   
 5.2000    .0039    .0035    .0003    .0001   
 5.3000    .0033    .0030    .0002    .0001   
 5.4000    .0024    .0022    .0002    .0001   
 5.5000    .0012    .0011    .0001    .0000   
 5.6000    .0004    .0004    .0000    .0000   
 5.7000    .0002    .0001    .0000    .0000   
 5.8000    .0001    .0001    .0000    .0000   
 5.9000    .0000    .0000    .0000    .0000   
 6.0000    .0000    .0000    .0000    .0000   


         EPS09 central


-6.0000    .0000    .0000    .0000    .0000   
-5.9000    .0000    .0000    .0000    .0000   
-5.8000    .0000    .0000    .0000    .0000   
-5.7000    .0000    .0000    .0000    .0000   
-5.6000    .0000    .0000    .0000    .0000   
-5.5000    .0000    .0000    .0000    .0000   
-5.4000    .0000    .0000    .0000    .0000   
-5.3000    .0000    .0000    .0000    .0000   
-5.2000    .0000    .0000    .0000    .0000   
-5.1000    .0000    .0000    .0000    .0000   
-5.0000    .0000    .0000    .0000    .0000   
-4.9000    .0196    .0176    .0015    .0005   
-4.8000    .0347    .0313    .0026    .0008   
-4.7000    .0563    .0506    .0043    .0014   
-4.6000    .0834    .0749    .0065    .0021   
-4.5000    .1139    .1021    .0090    .0029   
-4.4000    .1452    .1299    .0116    .0037   
-4.3000    .1759    .1570    .0143    .0046   
-4.2000    .2047    .1822    .0170    .0055   
-4.1000    .2302    .2042    .0196    .0064   
-4.0000    .2525    .2230    .0220    .0074   
-3.9000    .2719    .2390    .0245    .0084   
-3.8000    .2884    .2518    .0270    .0096   
-3.7000    .3027    .2620    .0297    .0109   
-3.6000    .3156    .2704    .0328    .0125   
-3.5000    .3273    .2769    .0361    .0143   
-3.4000    .3399    .2833    .0401    .0164   
-3.3000    .3524    .2890    .0446    .0188   
-3.2000    .3650    .2938    .0497    .0214   
-3.1000    .3785    .2989    .0554    .0242   
-3.0000    .3930    .3044    .0615    .0271   
-2.9000    .4094    .3110    .0682    .0302   
-2.8000    .4264    .3179    .0753    .0332   
-2.7000    .4438    .3252    .0825    .0361   
-2.6000    .4623    .3336    .0898    .0390   
-2.5000    .4808    .3422    .0970    .0416   
-2.4000    .5011    .3527    .1043    .0441   
-2.3000    .5208    .3633    .1112    .0462   
-2.2000    .5408    .3748    .1178    .0482   
-2.1000    .5599    .3861    .1239    .0498   
-2.0000    .5799    .3989    .1297    .0513   
-1.9000    .5985    .4112    .1349    .0524   
-1.8000    .6176    .4246    .1396    .0534   
-1.7000    .6349    .4371    .1437    .0541   
-1.6000    .6515    .4497    .1473    .0546   
-1.5000    .6685    .4631    .1505    .0550   
-1.4000    .6833    .4751    .1531    .0552   
-1.3000    .6972    .4868    .1552    .0552   
-1.2000    .7100    .4979    .1569    .0552   
-1.1000    .7219    .5085    .1583    .0551   
-1.0000    .7328    .5185    .1594    .0549   
 -.9000    .7428    .5277    .1603    .0548   
 -.8000    .7516    .5361    .1609    .0546   
 -.7000    .7595    .5437    .1614    .0544   
 -.6000    .7663    .5503    .1618    .0542   
 -.5000    .7719    .5559    .1620    .0540   
 -.4000    .7764    .5605    .1621    .0538   
 -.3000    .7797    .5639    .1621    .0536   
 -.2000    .7819    .5663    .1621    .0535   
 -.1000    .7832    .5677    .1621    .0534   
  .0000    .7837    .5682    .1621    .0534   
  .1000    .7832    .5677    .1621    .0534   
  .2000    .7819    .5663    .1621    .0535   
  .3000    .7797    .5639    .1621    .0536   
  .4000    .7764    .5605    .1621    .0538   
  .5000    .7719    .5559    .1620    .0540   
  .6000    .7663    .5503    .1618    .0542   
  .7000    .7595    .5437    .1614    .0544   
  .8000    .7516    .5361    .1609    .0546   
  .9000    .7428    .5277    .1603    .0548   
 1.0000    .7328    .5185    .1594    .0549   
 1.1000    .7219    .5085    .1583    .0551   
 1.2000    .7100    .4979    .1569    .0552   
 1.3000    .6972    .4868    .1552    .0552   
 1.4000    .6833    .4751    .1531    .0552   
 1.5000    .6685    .4631    .1505    .0550   
 1.6000    .6515    .4497    .1473    .0546   
 1.7000    .6349    .4371    .1437    .0541   
 1.8000    .6176    .4246    .1396    .0534   
 1.9000    .5985    .4112    .1349    .0524   
 2.0000    .5799    .3989    .1297    .0513   
 2.1000    .5599    .3861    .1239    .0498   
 2.2000    .5408    .3748    .1178    .0482   
 2.3000    .5208    .3633    .1112    .0462   
 2.4000    .5011    .3527    .1043    .0441   
 2.5000    .4808    .3422    .0970    .0416   
 2.6000    .4623    .3336    .0898    .0390   
 2.7000    .4438    .3252    .0825    .0361   
 2.8000    .4264    .3179    .0753    .0332   
 2.9000    .4094    .3110    .0682    .0302   
 3.0000    .3930    .3044    .0615    .0271   
 3.1000    .3785    .2989    .0554    .0242   
 3.2000    .3650    .2938    .0497    .0214   
 3.3000    .3524    .2890    .0446    .0188   
 3.4000    .3399    .2833    .0401    .0164   
 3.5000    .3273    .2769    .0361    .0143   
 3.6000    .3156    .2704    .0328    .0125   
 3.7000    .3027    .2620    .0297    .0109   
 3.8000    .2884    .2518    .0270    .0096   
 3.9000    .2719    .2390    .0245    .0084   
 4.0000    .2525    .2230    .0220    .0074   
 4.1000    .2302    .2042    .0196    .0064   
 4.2000    .2047    .1822    .0170    .0055   
 4.3000    .1759    .1570    .0143    .0046   
 4.4000    .1452    .1299    .0116    .0037   
 4.5000    .1139    .1021    .0090    .0029   
 4.6000    .0834    .0749    .0065    .0021   
 4.7000    .0563    .0506    .0043    .0014   
 4.8000    .0347    .0313    .0026    .0008   
 4.9000    .0196    .0176    .0015    .0005   
 5.0000    .0000    .0000    .0000    .0000   
 5.1000    .0000    .0000    .0000    .0000   
 5.2000    .0000    .0000    .0000    .0000   
 5.3000    .0000    .0000    .0000    .0000   
 5.4000    .0000    .0000    .0000    .0000   
 5.5000    .0000    .0000    .0000    .0000   
 5.6000    .0000    .0000    .0000    .0000   
 5.7000    .0000    .0000    .0000    .0000   
 5.8000    .0000    .0000    .0000    .0000   
 5.9000    .0000    .0000    .0000    .0000   
 6.0000    .0000    .0000    .0000    .0000   
 
 


	  
	     upsilon LTA strong shadowing
		 
		 
		 
    -4.0000    .0238    .0207    .0024    .0007	 
    -3.9000    .0513    .0445    .0052    .0016
    -3.8000    .1023    .0884    .0105    .0034
    -3.7000    .1840    .1585    .0193    .0062
    -3.6000    .3021    .2593    .0324    .0104
    -3.5000    .4582    .3917    .0502    .0163
    -3.4000    .6484    .5516    .0729    .0239
    -3.3000    .8752    .7405    .1011    .0337
    -3.2000   1.1338    .9527    .1351    .0459
    -3.1000   1.4160   1.1802    .1749    .0609
    -3.0000   1.7160   1.4162    .2206    .0792
    -2.9000   2.0264   1.6525    .2727    .1012
    -2.8000   2.3686   1.9052    .3350    .1284
    -2.7000   2.7329   2.1640    .4077    .1612
    -2.6000   3.1294   2.4354    .4935    .2006
    -2.5000   3.5309   2.6963    .5894    .2452
    -2.4000   3.9645   2.9678    .7002    .2965
    -2.3000   4.4009   3.2273    .8213    .3522
    -2.2000   4.8755   3.5039    .9579    .4136
    -2.1000   5.3553   3.7713   1.1054    .4787
    -2.0000   5.8328   4.0284   1.2597    .5447
    -1.9000   6.3219   4.2870   1.4227    .6121
    -1.8000   6.8233   4.5529   1.5914    .6790
    -1.7000   7.3184   4.8115   1.7625    .7443
    -1.6000   7.8144   5.0722   1.9350    .8073
    -1.5000   8.2948   5.3272   2.1023    .8653
    -1.4000   8.7651   5.5776   2.2673    .9202
    -1.3000   9.2263   5.8306   2.4257    .9700
    -1.2000   9.6618   6.0697   2.5764   1.0156
    -1.1000  10.0903   6.3112   2.7215   1.0577
    -1.0000  10.4578   6.5198   2.8467   1.0914
     -.9000  10.8238   6.7331   2.9676   1.1231
     -.8000  11.1356   6.9173   3.0702   1.1481
     -.7000  11.4071   7.0788   3.1594   1.1688
     -.6000  11.6577   7.2319   3.2391   1.1868
     -.5000  11.8741   7.3667   3.3062   1.2012
     -.4000  12.0590   7.4820   3.3634   1.2135
     -.3000  12.1937   7.5674   3.4047   1.2217
     -.2000  12.2872   7.6263   3.4336   1.2273
     -.1000  12.3483   7.6654   3.4519   1.2309
      .0000  12.3564   7.6709   3.4546   1.2309
      .1000  12.3483   7.6654   3.4519   1.2309
      .2000  12.2872   7.6263   3.4336   1.2273
      .3000  12.1937   7.5674   3.4047   1.2217
      .4000  12.0590   7.4820   3.3634   1.2135
      .5000  11.8741   7.3667   3.3062   1.2012
      .6000  11.6577   7.2319   3.2391   1.1868
      .7000  11.4071   7.0788   3.1594   1.1688
      .8000  11.1356   6.9173   3.0702   1.1481
      .9000  10.8238   6.7331   2.9676   1.1231
     1.0000  10.4578   6.5198   2.8467   1.0914
     1.1000  10.0903   6.3112   2.7215   1.0577
     1.2000   9.6618   6.0697   2.5764   1.0156
     1.3000   9.2263   5.8306   2.4257    .9700
     1.4000   8.7651   5.5776   2.2673    .9202
     1.5000   8.2948   5.3272   2.1023    .8653
     1.6000   7.8144   5.0722   1.9350    .8073
     1.7000   7.3184   4.8115   1.7625    .7443
     1.8000   6.8233   4.5529   1.5914    .6790
     1.9000   6.3219   4.2870   1.4227    .6121
     2.0000   5.8328   4.0284   1.2597    .5447
     2.1000   5.3553   3.7713   1.1054    .4787
     2.2000   4.8755   3.5039    .9579    .4136
     2.3000   4.4009   3.2273    .8213    .3522
     2.4000   3.9645   2.9678    .7002    .2965
     2.5000   3.5309   2.6963    .5894    .2452
     2.6000   3.1294   2.4354    .4935    .2006
     2.7000   2.7329   2.1640    .4077    .1612
     2.8000   2.3686   1.9052    .3350    .1284
     2.9000   2.0264   1.6525    .2727    .1012
     3.0000   1.7160   1.4162    .2206    .0792
     3.1000   1.4160   1.1802    .1749    .0609
     3.2000   1.1338    .9527    .1351    .0459
     3.3000    .8752    .7405    .1011    .0337
     3.4000    .6484    .5516    .0729    .0239
     3.5000    .4582    .3917    .0502    .0163
     3.6000    .3021    .2593    .0324    .0104
     3.7000    .1840    .1585    .0193    .0062
     3.8000    .1023    .0884    .0105    .0034
     3.9000    .0513    .0445    .0052    .0016
     4.0000    .0238    .0207    .0024    .0007
	 
	 upsilon   lta weak shadowing
	 
     -4.0000    .0238    .0207    .0024    .0007
     -3.9000    .0512    .0444    .0052    .0016
     -3.8000    .1018    .0880    .0105    .0033
     -3.7000    .1827    .1574    .0192    .0062
     -3.6000    .2992    .2567    .0321    .0104
     -3.5000    .4530    .3871    .0498    .0162
     -3.4000    .6407    .5446    .0722    .0239
     -3.3000    .8653    .7310    .1005    .0338
     -3.2000   1.1224    .9411    .1348    .0465
     -3.1000   1.4052   1.1674    .1754    .0623
     -3.0000   1.7087   1.4039    .2229    .0819
     -2.9000   2.0263   1.6424    .2779    .1060
     -2.8000   2.3801   1.8994    .3445    .1362
     -2.7000   2.7605   2.1645    .4232    .1728
     -2.6000   3.1787   2.4448    .5168    .2170
     -2.5000   3.6080   2.7179    .6227    .2674
     -2.4000   4.0757   3.0050    .7454    .3253
     -2.3000   4.5499   3.2817    .8800    .3881
     -2.2000   5.0673   3.5785   1.0318    .4570
     -2.1000   5.5960   3.8698   1.1962    .5300
     -2.0000   6.1263   4.1539   1.3684    .6040
     -1.9000   6.6723   4.4426   1.5504    .6794
     -1.8000   7.2331   4.7411   1.7382    .7537
     -1.7000   7.7877   5.0337   1.9281    .8258
     -1.6000   8.3435   5.3298   2.1188    .8950
     -1.5000   8.8816   5.6206   2.3029    .9581
     -1.4000   9.4085   5.9074   2.4837   1.0174
     -1.3000   9.9245   6.1973   2.6564   1.0708
     -1.2000  10.4115   6.4728   2.8197   1.1190
     -1.1000  10.8889   6.7500   2.9759   1.1630
     -1.0000  11.3005   6.9923   3.1103   1.1979
      -.9000  11.7086   7.2387   3.2394   1.2305
      -.8000  12.0575   7.4532   3.3485   1.2558
      -.7000  12.3624   7.6426   3.4432   1.2766
      -.6000  12.6437   7.8215   3.5276   1.2946
      -.5000  12.8859   7.9789   3.5983   1.3088
      -.4000  13.0899   8.1114   3.6578   1.3207
      -.3000  13.2384   8.2099   3.7003   1.3283
      -.2000  13.3431   8.2791   3.7304   1.3336
      -.1000  13.4131   8.3258   3.7500   1.3373
       .0000  13.4228   8.3329   3.7527   1.3371
       .1000  13.4131   8.3258   3.7500   1.3373
       .2000  13.3431   8.2791   3.7304   1.3336
       .3000  13.2384   8.2099   3.7003   1.3283
       .4000  13.0899   8.1114   3.6578   1.3207
       .5000  12.8859   7.9789   3.5983   1.3088
       .6000  12.6437   7.8215   3.5276   1.2946
       .7000  12.3624   7.6426   3.4432   1.2766
       .8000  12.0575   7.4532   3.3485   1.2558
       .9000  11.7086   7.2387   3.2394   1.2305
      1.0000  11.3005   6.9923   3.1103   1.1979
      1.1000  10.8889   6.7500   2.9759   1.1630
      1.2000  10.4115   6.4728   2.8197   1.1190
      1.3000   9.9245   6.1973   2.6564   1.0708
      1.4000   9.4085   5.9074   2.4837   1.0174
      1.5000   8.8816   5.6206   2.3029    .9581
      1.6000   8.3435   5.3298   2.1188    .8950
      1.7000   7.7877   5.0337   1.9281    .8258
      1.8000   7.2331   4.7411   1.7382    .7537
      1.9000   6.6723   4.4426   1.5504    .6794
      2.0000   6.1263   4.1539   1.3684    .6040
      2.1000   5.5960   3.8698   1.1962    .5300
      2.2000   5.0673   3.5785   1.0318    .4570
      2.3000   4.5499   3.2817    .8800    .3881
      2.4000   4.0757   3.0050    .7454    .3253
      2.5000   3.6080   2.7179    .6227    .2674
      2.6000   3.1787   2.4448    .5168    .2170
      2.7000   2.7605   2.1645    .4232    .1728
      2.8000   2.3801   1.8994    .3445    .1362
      2.9000   2.0263   1.6424    .2779    .1060
      3.0000   1.7087   1.4039    .2229    .0819
      3.1000   1.4052   1.1674    .1754    .0623
      3.2000   1.1224    .9411    .1348    .0465
      3.3000    .8653    .7310    .1005    .0338
      3.4000    .6407    .5446    .0722    .0239
      3.5000    .4530    .3871    .0498    .0162
      3.6000    .2992    .2567    .0321    .0104
      3.7000    .1827    .1574    .0192    .0062
      3.8000    .1018    .0880    .0105    .0033
      3.9000    .0512    .0444    .0052    .0016
      4.0000    .0238    .0207    .0024    .0007
	  
	  UPSILON EPS09 NLO central
	  
	  
      -4.0000    .0247    .0214    .0024    .0008
      -3.9000    .0539    .0467    .0054    .0017
      -3.8000    .1093    .0944    .0112    .0036
      -3.7000    .1993    .1717    .0209    .0067
      -3.6000    .3311    .2840    .0356    .0115
      -3.5000    .5066    .4326    .0557    .0182
      -3.4000    .7185    .6103    .0812    .0270
      -3.3000    .9717    .8199    .1133    .0385
      -3.2000   1.2599   1.0545    .1522    .0531
      -3.1000   1.5768   1.3066    .1985    .0716
      -3.0000   1.9247   1.5760    .2538    .0950
      -2.9000   2.2902   1.8482    .3183    .1238
      -2.8000   2.6884   2.1333    .3955    .1596
      -2.7000   3.0992   2.4121    .4847    .2024
      -2.6000   3.5423   2.6986    .5899    .2537
      -2.5000   3.9863   2.9668    .7077    .3117
      -2.4000   4.4692   3.2468    .8443    .3782
      -2.3000   4.9524   3.5089    .9935    .4500
      -2.2000   5.4819   3.7923   1.1614    .5282
      -2.1000   6.0281   4.0749   1.3428    .6103
      -2.0000   6.5820   4.3561   1.5328    .6930
      -1.9000   7.1587   4.6481   1.7337    .7769
      -1.8000   7.7543   4.9552   1.9402    .8589
      -1.7000   8.3455   5.2607   2.1476    .9373
      -1.6000   8.9407   5.5740   2.3548   1.0118
      -1.5000   9.5161   5.8841   2.5532   1.0788
      -1.4000  10.0809   6.1938   2.7464   1.1407
      -1.3000  10.6350   6.5104   2.9292   1.1953
      -1.2000  11.1576   6.8148   3.0996   1.2433
      -1.1000  11.6688   7.1225   3.2604   1.2859
      -1.0000  12.1146   7.3976   3.3981   1.3189
       -.9000  12.5567   7.6780   3.5295   1.3493
       -.8000  12.9376   7.9264   3.6393   1.3719
       -.7000  13.2722   8.1482   3.7339   1.3900
       -.6000  13.5825   8.3588   3.8183   1.4054
       -.5000  13.8493   8.5443   3.8879   1.4170
       -.4000  14.0663   8.6960   3.9443   1.4261
       -.3000  14.2226   8.8084   3.9832   1.4310
       -.2000  14.3354   8.8896   4.0112   1.4345
       -.1000  14.4153   8.9467   4.0310   1.4376
        .0000  14.4269   8.9563   4.0335   1.4371
        .1000  14.4153   8.9467   4.0310   1.4376
        .2000  14.3354   8.8896   4.0112   1.4345
        .3000  14.2226   8.8084   3.9832   1.4310
        .4000  14.0663   8.6960   3.9443   1.4261
        .5000  13.8493   8.5443   3.8879   1.4170
        .6000  13.5825   8.3588   3.8183   1.4054
        .7000  13.2722   8.1482   3.7339   1.3900
        .8000  12.9376   7.9264   3.6393   1.3719
        .9000  12.5567   7.6780   3.5295   1.3493
       1.0000  12.1146   7.3976   3.3981   1.3189
       1.1000  11.6688   7.1225   3.2604   1.2859
       1.2000  11.1576   6.8148   3.0996   1.2433
       1.3000  10.6350   6.5104   2.9292   1.1953
       1.4000  10.0809   6.1938   2.7464   1.1407
       1.5000   9.5161   5.8841   2.5532   1.0788
       1.6000   8.9407   5.5740   2.3548   1.0118
       1.7000   8.3455   5.2607   2.1476    .9373
       1.8000   7.7543   4.9552   1.9402    .8589
       1.9000   7.1587   4.6481   1.7337    .7769
       2.0000   6.5820   4.3561   1.5328    .6930
       2.1000   6.0281   4.0749   1.3428    .6103
       2.2000   5.4819   3.7923   1.1614    .5282
       2.3000   4.9524   3.5089    .9935    .4500
       2.4000   4.4692   3.2468    .8443    .3782
       2.5000   3.9863   2.9668    .7077    .3117
       2.6000   3.5423   2.6986    .5899    .2537
       2.7000   3.0992   2.4121    .4847    .2024
       2.8000   2.6884   2.1333    .3955    .1596
       2.9000   2.2902   1.8482    .3183    .1238
       3.0000   1.9247   1.5760    .2538    .0950
       3.1000   1.5768   1.3066    .1985    .0716
       3.2000   1.2599   1.0545    .1522    .0531
       3.3000    .9717    .8199    .1133    .0385
       3.4000    .7185    .6103    .0812    .0270
       3.5000    .5066    .4326    .0557    .0182
       3.6000    .3311    .2840    .0356    .0115
       3.7000    .1993    .1717    .0209    .0067
       3.8000    .1093    .0944    .0112    .0036
       3.9000    .0539    .0467    .0054    .0017
       4.0000    .0247    .0214    .0024    .0008
	   
	   
	   
	   
	   rho production
	   
	   
	          weak shadowing
			  
		    y       tot	     0n0n      0nxn      xnxn
	   
	     -7.0       0         0         0         0   
         -6.25    271.55    252.43     14.51      4.61
         -6.00    621.74    576.88     34.06     10.81
         -5.50    682.41    630.26     39.51     12.64
         -5.00    673.93    616.88     42.75     14.30
         -4.50    641.75    576.07     48.28     17.40
         -4.00    613.07    534.19     57.45     21.43
         -3.50    593.49    501.71     67.19     24.59
         -3.00    578.49    478.46     74.01     26.03
         -2.50    564.59    461.75     76.82     26.02
         -2.00    554.65    451.64     77.48     25.53
         -1.50    565.86    461.84     78.58     25.44
         -1.00    577.75    473.28     79.11     25.36
          -.50    585.13    480.62     79.23     25.28
           .00    587.79    483.28     79.26     25.26
           .50    585.13    480.62     79.23     25.28
          1.00    577.75    473.28     79.11     25.36
          1.50    565.86    461.84     78.58     25.44
          2.00    554.65    451.64     77.48     25.53
          2.50    564.59    461.75     76.82     26.02
          3.00    578.49    478.46     74.01     26.03
          3.50    593.49    501.71     67.19     24.59
          4.00    613.07    534.19     57.45     21.43
          4.50    641.75    576.07     48.28     17.40
          5.00    673.93    616.88     42.75     14.30
          5.50    682.41    630.26     39.51     12.64
          6.00    621.74    576.88     34.06     10.81
          6.25    271.55    252.43     14.51      4.61
          7.0       0         0         0         0   
		  
		     strong shadowing
		  
		  
            -7.0       0         0         0         0   
            -6.25    271.55    252.43     14.51      4.61
            -6.00    609.40    565.42     33.38     10.60
            -5.50    662.60    611.98     38.35     12.26
            -5.00    649.01    594.24     41.07     13.70
            -4.50    610.60    548.64     45.61     16.36
            -4.00    576.36    503.03     53.47     19.86
            -3.50    551.33    466.78     61.93     22.62
            -3.00    532.73    440.92     67.93     23.88
            -2.50    518.51    424.00     70.60     23.91
            -2.00    508.82    414.16     71.20     23.47
            -1.50    519.05    423.53     72.16     23.36
            -1.00    530.02    434.13     72.61     23.28
             -.50    536.87    440.96     72.70     23.20
              .00    539.25    443.37     72.71     23.17
              .50    536.87    440.96     72.70     23.20
             1.00    530.02    434.13     72.61     23.28
             1.50    519.05    423.53     72.16     23.36
             2.00    508.82    414.16     71.20     23.47
             2.50    518.51    424.00     70.60     23.91
             3.00    532.73    440.92     67.93     23.88
             3.50    551.33    466.78     61.93     22.62
             4.00    576.36    503.03     53.47     19.86
             4.50    610.60    548.64     45.61     16.36
             5.00    649.01    594.24     41.07     13.70
             5.50    662.60    611.98     38.35     12.26
             6.00    609.40    565.42     33.38     10.60
             6.25    271.55    252.43     14.51      4.61
             7.0       0         0         0         0   
			 
			 
			 
			 	
			  
              phi meson
              
                         weak shadowing
              
               -6.500    16.735    15.585      .873      .277
               -6.00     29.44     27.25      1.66       .53 
               -5.50     38.73     35.69      2.30       .73 
               -5.00     44.37     40.57      2.86       .94 
               -4.50     47.72     42.79      3.62      1.31 
               -4.00     50.36     43.67      4.83      1.86 
               -3.50     52.84     44.18      6.27      2.39 
               -3.00     54.67     44.51      7.45      2.71 
               -2.50     55.66     44.71      8.13      2.82 
               -2.00     56.69     45.43      8.44      2.82 
               -1.50     59.04     47.45      8.74      2.85 
               -1.00     60.73     48.99      8.88      2.86 
                -.50     61.73     49.94      8.93      2.86 
                 .00     62.07     50.27      8.94      2.86 
                 .50     61.73     49.94      8.93      2.86 
                1.00     60.73     48.99      8.88      2.86 
                1.50     59.04     47.45      8.74      2.85 
                2.00     56.69     45.43      8.44      2.82 
                2.50     55.66     44.71      8.13      2.82 
                3.00     54.67     44.51      7.45      2.71 
                3.50     52.84     44.18      6.27      2.39 
                4.00     50.36     43.67      4.83      1.86 
                4.50     47.72     42.79      3.62      1.31 
                5.00     44.37     40.57      2.86       .94 
                5.50     38.73     35.69      2.30       .73 
                6.00     29.44     27.25      1.66       .53 
                6.500    16.735    15.585      .873      .277
                
                  phi  strong shadowing
                
                  -6.500    16.735    15.585      .873      .277
                  -6.00     30.13     27.90      1.70       .54 
                  -5.50     38.31     35.31      2.28       .72 
                  -5.00     42.98     39.31      2.76       .91 
                  -4.50     45.56     40.90      3.42      1.23 
                  -4.00     47.43     41.22      4.49      1.71 
                  -3.50     49.13     41.19      5.75      2.18 
                  -3.00     50.37     41.09      6.81      2.47 
                  -2.50     51.02     41.01      7.43      2.58 
                  -2.00     51.93     41.61      7.73      2.59 
                  -1.50     54.09     43.47      8.01      2.62 
                  -1.00     55.63     44.88      8.13      2.62 
                   -.50     56.54     45.74      8.18      2.62 
                    .00     56.84     46.04      8.19      2.62 
                    .50     56.54     45.74      8.18      2.62 
                   1.00     55.63     44.88      8.13      2.62 
                   1.50     54.09     43.47      8.01      2.62 
                   2.00     51.93     41.61      7.73      2.59 
                   2.50     51.02     41.01      7.43      2.58 
                   3.00     50.37     41.09      6.81      2.47 
                   3.50     49.13     41.19      5.75      2.18 
                   4.00     47.43     41.22      4.49      1.71 
                   4.50     45.56     40.90      3.42      1.23 
                   5.00     42.98     39.31      2.76       .91 
                   5.50     38.31     35.31      2.28       .72 
                   6.00     30.13     27.90      1.70       .54 
                   6.500    16.735    15.585      .873      .277
             	  
