-4.80000e+00  2.59330e+02 
-4.60000e+00  4.15296e+02 
-4.40000e+00  6.09245e+02 
-4.20000e+00  8.59349e+02 
-4.00000e+00  1.13282e+03 
-3.80000e+00  1.41126e+03 
-3.60000e+00  1.68487e+03 
-3.40000e+00  2.00205e+03 
-3.20000e+00  2.33387e+03 
-3.00000e+00  2.65397e+03 
-2.80000e+00  3.00985e+03 
-2.60000e+00  3.36026e+03 
-2.40000e+00  3.67136e+03 
-2.20000e+00  3.99307e+03 
-2.00000e+00  4.29467e+03 
-1.80000e+00  4.56404e+03 
-1.60000e+00  4.82776e+03 
-1.40000e+00  5.05745e+03 
-1.20000e+00  5.25037e+03 
-1.00000e+00  5.43175e+03 
-8.00000e-01  5.57311e+03 
-6.00000e-01  5.67450e+03 
-4.00000e-01  5.76330e+03 
-2.00000e-01  5.81069e+03 
-0.00000e+00  5.81698e+03 
