-4.80000e+00  2.90193e+02 
-4.60000e+00  4.51192e+02 
-4.40000e+00  6.34887e+02 
-4.20000e+00  8.51458e+02 
-4.00000e+00  1.08970e+03 
-3.80000e+00  1.33260e+03 
-3.60000e+00  1.57136e+03 
-3.40000e+00  1.85217e+03 
-3.20000e+00  2.15323e+03 
-3.00000e+00  2.45484e+03 
-2.80000e+00  2.79208e+03 
-2.60000e+00  3.13550e+03 
-2.40000e+00  3.46570e+03 
-2.20000e+00  3.80754e+03 
-2.00000e+00  4.12962e+03 
-1.80000e+00  4.42118e+03 
-1.60000e+00  4.70767e+03 
-1.40000e+00  4.95768e+03 
-1.20000e+00  5.16755e+03 
-1.00000e+00  5.36591e+03 
-8.00000e-01  5.52065e+03 
-6.00000e-01  5.63133e+03 
-4.00000e-01  5.72905e+03 
-2.00000e-01  5.78111e+03 
-0.00000e+00  5.78765e+03 
